Date,Power_Transformed_Normalized_WL
2023-06-25,0.6145109476318055
2023-06-26,0.6098684114878254
2023-06-27,0.6051707530960974
2023-06-28,0.6004207327981353
2023-06-29,0.595621110935454
2023-06-30,0.5907746478495677
2023-07-01,0.5858841038819905
2023-07-02,0.5809522393742371
2023-07-03,0.5759818146678222
2023-07-04,0.5709755901042595
2023-07-05,0.5659363260250638
2023-07-06,0.5608667827717495
2023-07-07,0.5557697206858309
2023-07-08,0.5506479001088224
2023-07-09,0.5455040813822384
2023-07-10,0.5403410248475933
2023-07-11,0.5351614908464015
2023-07-12,0.5299682397201774
2023-07-13,0.5247640318104354
2023-07-14,0.5195516274586898
2023-07-15,0.514333787006455
2023-07-16,0.5091335847281085
2023-07-17,0.5039672693346923
2023-07-18,0.49882736282271734
2023-07-19,0.49370638718869486
