Date,WL
6/25/2024,20.13
6/25/2024,20.15
6/25/2024,20.15
6/25/2024,20.16
6/25/2024,20.18
6/25/2024,20.17
6/25/2024,20.18
6/25/2024,20.16
6/25/2024,20.18
6/25/2024,20.2
6/25/2024,20.23
6/25/2024,20.25
6/25/2024,20.2
6/25/2024,20.23
6/25/2024,20.24
6/25/2024,20.25
6/25/2024,20.24
6/25/2024,20.27
6/25/2024,20.28
6/25/2024,20.29
6/25/2024,20.27
6/25/2024,20.28
6/25/2024,20.31
6/25/2024,20.29
6/25/2024,20.33
6/25/2024,20.47
6/25/2024,20.63
6/25/2024,20.69
6/25/2024,20.7
6/26/2024,20.68
6/26/2024,20.71
6/26/2024,20.73
6/26/2024,20.69
6/26/2024,20.71
6/26/2024,20.72
6/26/2024,20.74
6/26/2024,20.75
6/26/2024,20.76
6/26/2024,20.77
6/26/2024,20.81
6/26/2024,20.83
6/26/2024,20.84
6/26/2024,20.86
6/26/2024,20.9
6/26/2024,20.91
6/26/2024,20.87
6/26/2024,20.9
6/26/2024,20.91
6/26/2024,20.92
6/26/2024,20.92
6/26/2024,20.93
6/26/2024,20.92
6/26/2024,20.89
6/26/2024,20.89
6/26/2024,20.91
6/26/2024,20.89
6/26/2024,20.9
6/26/2024,20.9
6/26/2024,20.88
6/26/2024,20.87
6/26/2024,20.85
6/26/2024,20.86
6/26/2024,20.87
6/26/2024,20.87
6/26/2024,20.83
6/26/2024,20.86
6/26/2024,20.88
6/26/2024,20.83
6/26/2024,20.83
6/26/2024,20.85
6/26/2024,20.83
6/26/2024,20.84
6/26/2024,20.84
6/26/2024,20.82
6/26/2024,20.81
6/26/2024,20.82
6/26/2024,20.82
6/26/2024,20.81
6/26/2024,20.81
6/26/2024,20.81
6/26/2024,20.82
6/26/2024,20.8
6/26/2024,20.81
6/26/2024,20.81
6/26/2024,20.8
6/26/2024,20.81
6/26/2024,20.83
6/26/2024,20.81
6/26/2024,20.82
6/26/2024,20.79
6/26/2024,20.82
6/26/2024,20.82
6/26/2024,20.83
6/26/2024,20.85
6/26/2024,20.81
6/26/2024,20.83
6/26/2024,20.84
6/26/2024,20.84
6/26/2024,20.86
6/26/2024,20.85
6/26/2024,20.88
6/26/2024,20.88
6/26/2024,20.89
6/26/2024,20.87
6/26/2024,20.91
6/26/2024,20.91
6/26/2024,20.92
6/26/2024,20.92
6/26/2024,20.91
6/26/2024,20.97
6/26/2024,20.95
6/26/2024,20.96
6/26/2024,20.98
6/26/2024,20.97
6/26/2024,20.98
6/26/2024,21.01
6/26/2024,21.02
6/26/2024,21.02
6/26/2024,21.02
6/26/2024,21.04
6/26/2024,21.02
6/26/2024,21.04
6/26/2024,21.02
6/26/2024,21.02
6/26/2024,21.01
6/27/2024,21.06
6/27/2024,21.05
6/27/2024,21.04
6/27/2024,21.09
6/27/2024,21.05
6/27/2024,21.06
6/27/2024,21.06
6/27/2024,21.06
6/27/2024,21.07
6/27/2024,21.07
6/27/2024,21.07
6/27/2024,21.07
6/27/2024,21.06
6/27/2024,21.08
6/27/2024,21.07
6/27/2024,21.07
6/27/2024,21.05
6/27/2024,21.07
6/27/2024,21.08
6/27/2024,21.04
6/27/2024,21.06
6/27/2024,21.06
6/27/2024,21.05
6/27/2024,21.05
6/27/2024,21.07
6/27/2024,21.05
6/27/2024,21.07
6/27/2024,21.04
6/27/2024,21.07
6/27/2024,21.04
6/27/2024,21.04
6/27/2024,21.03
6/27/2024,21.04
6/27/2024,21.03
6/27/2024,21.03
6/27/2024,21.03
6/27/2024,21.01
6/27/2024,21.05
6/27/2024,21.03
6/27/2024,21.03
6/27/2024,21.04
6/27/2024,21.04
6/27/2024,21.04
6/27/2024,21.04
6/27/2024,21.04
6/27/2024,21.03
6/27/2024,21.08
6/27/2024,21.05
6/27/2024,21.04
6/27/2024,21.04
6/27/2024,21.05
6/27/2024,21.05
6/27/2024,21.03
6/27/2024,21.05
6/27/2024,21.04
6/27/2024,21.05
6/27/2024,21.05
6/27/2024,21.04
6/27/2024,21.05
6/27/2024,21.04
6/27/2024,21.05
6/27/2024,21.03
6/27/2024,21.02
6/27/2024,21.03
6/27/2024,21.03
6/27/2024,21.04
6/27/2024,21.04
6/27/2024,21.06
6/27/2024,21.02
6/27/2024,21.03
6/27/2024,21.05
6/27/2024,21.03
6/27/2024,21.04
6/27/2024,21.03
6/27/2024,21.04
6/27/2024,21.02
6/27/2024,21.03
6/27/2024,21.03
6/27/2024,21.03
6/27/2024,20.99
6/27/2024,21.02
6/27/2024,21.02
6/27/2024,21
6/27/2024,21.02
6/27/2024,21.03
6/27/2024,21.05
6/27/2024,21.01
6/27/2024,21.02
6/27/2024,21.02
6/27/2024,21.01
6/27/2024,21.01
6/27/2024,21.03
6/27/2024,21.03
6/27/2024,21.03
6/27/2024,21.01
6/27/2024,21
6/28/2024,21.02
6/28/2024,21.02
6/28/2024,21.01
6/28/2024,21
6/28/2024,21
6/28/2024,21
6/28/2024,21.01
6/28/2024,20.99
6/28/2024,21.02
6/28/2024,20.96
6/28/2024,21.01
6/28/2024,21.01
6/28/2024,20.99
6/28/2024,21
6/28/2024,20.99
6/28/2024,20.98
6/28/2024,21.01
6/28/2024,21.01
6/28/2024,21
6/28/2024,20.99
6/28/2024,21.01
6/28/2024,21.01
6/28/2024,21.02
6/28/2024,21
6/28/2024,21.01
6/28/2024,21.01
6/28/2024,21.04
6/28/2024,21.03
6/28/2024,21.13
6/28/2024,21.14
6/28/2024,21.15
6/28/2024,21.16
6/28/2024,21.21
6/28/2024,21.21
6/28/2024,21.24
6/28/2024,21.32
6/28/2024,21.32
6/28/2024,21.36
6/28/2024,21.35
6/28/2024,21.36
6/28/2024,21.39
6/28/2024,21.44
6/28/2024,21.42
6/28/2024,21.46
6/28/2024,21.44
6/28/2024,21.5
6/28/2024,21.51
6/28/2024,21.53
6/28/2024,21.51
6/28/2024,21.52
6/28/2024,21.54
6/28/2024,21.52
6/28/2024,21.52
6/28/2024,21.49
6/28/2024,21.52
6/28/2024,21.52
6/28/2024,21.53
6/28/2024,21.52
6/28/2024,21.5
6/28/2024,21.53
6/28/2024,21.54
6/28/2024,21.53
6/28/2024,21.49
6/28/2024,21.48
6/28/2024,21.51
6/28/2024,21.5
6/28/2024,21.48
6/28/2024,21.49
6/28/2024,21.47
6/28/2024,21.48
6/28/2024,21.45
6/28/2024,21.43
6/28/2024,21.45
6/28/2024,21.46
6/28/2024,21.43
6/28/2024,21.45
6/28/2024,21.44
6/28/2024,21.41
6/28/2024,21.42
6/28/2024,21.4
6/28/2024,21.42
6/28/2024,21.4
6/28/2024,21.37
6/28/2024,21.36
6/28/2024,21.37
6/28/2024,21.36
6/28/2024,21.34
6/28/2024,21.34
6/28/2024,21.35
6/28/2024,21.35
6/28/2024,21.32
6/28/2024,21.32
6/28/2024,21.33
6/28/2024,21.3
6/28/2024,21.28
6/28/2024,21.27
6/29/2024,21.27
6/29/2024,21.28
6/29/2024,21.25
6/29/2024,21.21
6/29/2024,21.26
6/29/2024,21.24
6/29/2024,21.27
6/29/2024,21.24
6/29/2024,21.21
6/29/2024,21.25
6/29/2024,21.26
6/29/2024,21.24
6/29/2024,21.21
6/29/2024,21.23
6/29/2024,21.24
6/29/2024,21.22
6/29/2024,21.23
6/29/2024,21.23
6/29/2024,21.18
6/29/2024,21.22
6/29/2024,21.18
6/29/2024,21.18
6/29/2024,21.2
6/29/2024,21.19
6/29/2024,21.2
6/29/2024,21.21
6/29/2024,21.19
6/29/2024,21.19
6/29/2024,21.17
6/29/2024,21.19
6/29/2024,21.17
6/29/2024,21.19
6/29/2024,21.18
6/29/2024,21.19
6/29/2024,21.19
6/29/2024,21.18
6/29/2024,21.17
6/29/2024,21.18
6/29/2024,21.18
6/29/2024,21.18
6/29/2024,21.17
6/29/2024,21.15
6/29/2024,21.16
6/29/2024,21.14
6/29/2024,21.16
6/29/2024,21.12
6/29/2024,21.12
6/29/2024,21.11
6/29/2024,21.11
6/29/2024,21.11
6/29/2024,21.07
6/29/2024,21.08
6/29/2024,21.04
6/29/2024,21.01
6/29/2024,21.01
6/29/2024,21.02
6/29/2024,21.02
6/29/2024,20.99
6/29/2024,20.98
6/29/2024,20.98
6/29/2024,20.98
6/29/2024,20.98
6/29/2024,20.97
6/29/2024,20.92
6/29/2024,20.95
6/29/2024,20.93
6/29/2024,20.91
6/29/2024,20.92
6/29/2024,20.9
6/29/2024,20.89
6/29/2024,20.87
6/29/2024,20.89
6/29/2024,20.85
6/29/2024,20.87
6/29/2024,20.86
6/29/2024,20.86
6/29/2024,20.86
6/29/2024,20.84
6/29/2024,20.82
6/29/2024,20.82
6/29/2024,20.81
6/29/2024,20.83
6/29/2024,20.82
6/29/2024,20.82
6/29/2024,20.83
6/29/2024,20.81
6/29/2024,20.8
6/29/2024,20.8
6/29/2024,20.79
6/29/2024,20.8
6/29/2024,20.8
6/29/2024,20.76
6/29/2024,20.8
6/29/2024,20.8
6/29/2024,20.8
6/29/2024,20.78
6/30/2024,20.8
6/30/2024,20.8
6/30/2024,20.77
6/30/2024,20.78
6/30/2024,20.79
6/30/2024,20.8
6/30/2024,20.78
6/30/2024,20.77
6/30/2024,20.77
6/30/2024,20.78
6/30/2024,20.78
6/30/2024,20.77
6/30/2024,20.76
6/30/2024,20.77
6/30/2024,20.78
6/30/2024,20.76
6/30/2024,20.77
6/30/2024,20.78
6/30/2024,20.79
6/30/2024,20.77
6/30/2024,20.76
6/30/2024,20.77
6/30/2024,20.78
6/30/2024,20.78
6/30/2024,20.79
6/30/2024,20.76
6/30/2024,20.79
6/30/2024,20.77
6/30/2024,20.77
6/30/2024,20.78
6/30/2024,20.77
6/30/2024,20.79
6/30/2024,20.77
6/30/2024,20.76
6/30/2024,20.8
6/30/2024,20.78
6/30/2024,20.77
6/30/2024,20.76
6/30/2024,20.78
6/30/2024,20.77
6/30/2024,20.78
6/30/2024,20.79
6/30/2024,20.79
6/30/2024,20.77
6/30/2024,20.8
6/30/2024,20.8
6/30/2024,20.79
6/30/2024,20.82
6/30/2024,20.82
6/30/2024,20.8
6/30/2024,20.81
6/30/2024,20.81
6/30/2024,20.78
6/30/2024,20.78
6/30/2024,20.79
6/30/2024,20.8
6/30/2024,20.79
6/30/2024,20.8
6/30/2024,20.79
6/30/2024,20.78
6/30/2024,20.79
6/30/2024,20.78
6/30/2024,20.79
6/30/2024,20.78
6/30/2024,20.79
6/30/2024,20.78
6/30/2024,20.76
6/30/2024,20.77
6/30/2024,20.76
6/30/2024,20.75
6/30/2024,20.75
6/30/2024,20.75
6/30/2024,20.74
6/30/2024,20.72
6/30/2024,20.72
6/30/2024,20.72
6/30/2024,20.71
6/30/2024,20.72
6/30/2024,20.73
6/30/2024,20.72
6/30/2024,20.71
6/30/2024,20.72
6/30/2024,20.72
6/30/2024,20.71
6/30/2024,20.71
6/30/2024,20.71
6/30/2024,20.7
6/30/2024,20.71
6/30/2024,20.7
6/30/2024,20.69
6/30/2024,20.71
6/30/2024,20.71
6/30/2024,20.7
6/30/2024,20.7
6/30/2024,20.72
6/30/2024,20.71
7/1/2024,20.71
7/1/2024,20.72
7/1/2024,20.69
7/1/2024,20.69
7/1/2024,20.7
7/1/2024,20.7
7/1/2024,20.72
7/1/2024,20.72
7/1/2024,20.69
7/1/2024,20.7
7/1/2024,20.71
7/1/2024,20.73
7/1/2024,20.72
7/1/2024,20.7
7/1/2024,20.7
7/1/2024,20.7
7/1/2024,20.68
7/1/2024,20.69
7/1/2024,20.71
7/1/2024,20.7
7/1/2024,20.68
7/1/2024,20.71
7/1/2024,20.69
7/1/2024,20.69
7/1/2024,20.69
7/1/2024,20.7
7/1/2024,20.68
7/1/2024,20.69
7/1/2024,20.68
7/1/2024,20.67
7/1/2024,20.66
7/1/2024,20.67
7/1/2024,20.69
7/1/2024,20.68
7/1/2024,20.68
7/1/2024,20.68
7/1/2024,20.67
7/1/2024,20.69
7/1/2024,20.68
7/1/2024,20.7
7/1/2024,20.69
7/1/2024,20.66
7/1/2024,20.67
7/1/2024,20.67
7/1/2024,20.69
7/1/2024,20.66
7/1/2024,20.67
7/1/2024,20.68
7/1/2024,20.67
7/1/2024,20.63
7/1/2024,20.67
7/1/2024,20.66
7/1/2024,20.65
7/1/2024,20.65
7/1/2024,20.64
7/1/2024,20.63
7/1/2024,20.63
7/1/2024,20.62
7/1/2024,20.62
7/1/2024,20.62
7/1/2024,20.65
7/1/2024,20.63
7/1/2024,20.63
7/1/2024,20.61
7/1/2024,20.62
7/1/2024,20.61
7/1/2024,20.62
7/1/2024,20.65
7/1/2024,20.62
7/1/2024,20.63
7/1/2024,20.61
7/1/2024,20.61
7/1/2024,20.62
7/1/2024,20.62
7/1/2024,20.63
7/1/2024,20.62
7/1/2024,20.6
7/1/2024,20.64
7/1/2024,20.62
7/1/2024,20.63
7/1/2024,20.63
7/1/2024,20.64
7/1/2024,20.64
7/1/2024,20.62
7/1/2024,20.61
7/1/2024,20.62
7/1/2024,20.63
7/1/2024,20.64
7/1/2024,20.65
7/1/2024,20.61
7/1/2024,20.62
7/1/2024,20.62
7/1/2024,20.61
7/1/2024,20.6
7/1/2024,20.6
7/1/2024,20.6
7/2/2024,20.61
7/2/2024,20.63
7/2/2024,20.6
7/2/2024,20.61
7/2/2024,20.64
7/2/2024,20.62
7/2/2024,20.61
7/2/2024,20.63
7/2/2024,20.63
7/2/2024,20.63
7/2/2024,20.62
7/2/2024,20.61
7/2/2024,20.62
7/2/2024,20.6
7/2/2024,20.62
7/2/2024,20.59
7/2/2024,20.62
7/2/2024,20.62
7/2/2024,20.62
7/2/2024,20.69
7/2/2024,20.81
7/2/2024,20.88
7/2/2024,20.89
7/2/2024,20.91
