Date,Rainfall (mm/day),seasonal,WL
10/12/2020,0,0.027359249,0.023267538
10/13/2020,0,0.026882545,0.023014642
10/14/2020,0,0.02639553,0.02285952
10/15/2020,0,0.025902328,0.022806787
10/16/2020,0,0.025407064,0.022846933
10/17/2020,0,0.024913862,0.022963842
10/18/2020,4.064,0.024426847,0.023152221
10/19/2020,3.048,0.023950143,0.023406774
10/20/2020,0.762,0.023487873,0.023722209
10/21/2020,26.162,0.023044164,0.024093231
10/22/2020,52.832,0.022623138,0.024514546
10/23/2020,6.096,0.02222892,0.02498086
10/24/2020,0,0.021865635,0.02548688
10/25/2020,1.27,0.021537407,0.02602731
10/26/2020,0,0.021248359,0.026596857
10/27/2020,0,0.021002618,0.027190228
10/28/2020,0.762,0.020804306,0.027802127
10/29/2020,0,0.020657548,0.028427261
10/30/2020,0,0.020566469,0.029060337
10/31/2020,0,0.020535193,0.029696059
11/1/2020,0,0.020968797,0.030329135
11/2/2020,0,0.02223019,0.030954269
11/3/2020,0,0.024260245,0.031566169
11/4/2020,0,0.026999834,0.032159539
11/5/2020,0,0.030389829,0.032729087
11/6/2020,0,0.034371102,0.033269517
11/7/2020,0,0.038884525,0.033775536
11/8/2020,0,0.043870971,0.03424185
11/9/2020,1.27,0.049271311,0.034663165
11/10/2020,28.194,0.055026418,0.035034187
11/11/2020,0,0.061077165,0.035349622
11/12/2020,0,0.067364422,0.035604176
11/13/2020,0,0.073829064,0.035792554
11/14/2020,0.508,0.08041196,0.035909464
11/15/2020,1.27,0.087053985,0.03594961
11/16/2020,0,0.093696009,0.035922956
11/17/2020,0,0.100278906,0.035845103
11/18/2020,0,0.106743547,0.035719214
11/19/2020,0,0.113030805,0.035548454
11/20/2020,0,0.119081551,0.035335985
11/21/2020,0,0.124836658,0.035084971
11/22/2020,0,0.130236999,0.034798577
11/23/2020,9.144,0.135223445,0.034479965
11/24/2020,13.208,0.139736868,0.034132299
11/25/2020,9.398,0.143718141,0.033758743
11/26/2020,0,0.147108135,0.03336246
11/27/2020,0,0.149847724,0.032946614
11/28/2020,0,0.151877779,0.032514369
11/29/2020,0,0.153139173,0.032068887
11/30/2020,0,0.153572776,0.031613334
12/1/2020,0,0.153318581,0.031150871
12/2/2020,0,0.152578341,0.030684664
12/3/2020,0,0.151385577,0.030217875
12/4/2020,0,0.149773809,0.029753668
12/5/2020,0,0.147776557,0.029295207
12/6/2020,0,0.145427342,0.028845655
12/7/2020,0,0.142759685,0.028408176
12/8/2020,0,0.139807104,0.027985934
12/9/2020,0,0.136603122,0.027582091
12/10/2020,0,0.133181257,0.027199812
12/11/2020,11.176,0.129575031,0.026842261
12/12/2020,0,0.125817964,0.0265126
12/13/2020,0,0.121943575,0.026213994
12/14/2020,0,0.117985386,0.025949606
12/15/2020,0,0.113976916,0.025722599
12/16/2020,0,0.109951686,0.025514439
12/17/2020,0,0.105943216,0.025304852
12/18/2020,0,0.101985027,0.025094398
12/19/2020,0,0.098110638,0.024883637
12/20/2020,0,0.094353571,0.024673129
12/21/2020,12.954,0.090747344,0.024463432
12/22/2020,0,0.08732548,0.024255106
12/23/2020,0.508,0.084121497,0.02404871
12/24/2020,0,0.081168917,0.023844805
12/25/2020,0,0.07850126,0.023643949
12/26/2020,0,0.076152045,0.023446701
12/27/2020,0,0.074154793,0.023253622
12/28/2020,0,0.072543025,0.023065271
12/29/2020,0,0.071350261,0.022882207
12/30/2020,0,0.070610021,0.02270499
12/31/2020,0,0.070355825,0.022534179
1/1/2021,0,0.070467592,0.022370333
1/2/2021,0,0.070796548,0.022214013
1/3/2021,0,0.071333174,0.022065777
1/4/2021,0,0.072067952,0.021926185
1/5/2021,1.681574074,0.072991365,0.021795796
1/6/2021,3.363148148,0.074093895,0.02167517
1/7/2021,0,0.075366024,0.021564866
1/8/2021,0,0.076798233,0.021465444
1/9/2021,0,0.078381006,0.021377463
1/10/2021,0,0.080104824,0.021301483
1/11/2021,0,0.081960168,0.021238063
1/12/2021,2.392753623,0.083937522,0.021187762
1/13/2021,8.178564815,0.086027368,0.021151141
1/14/2021,9.951861111,0.088220186,0.021128757
1/15/2021,0,0.09050646,0.021121172
1/16/2021,0,0.092876671,0.021139357
1/17/2021,0,0.095321302,0.021193669
1/18/2021,0,0.097830835,0.021283744
1/19/2021,0,0.100395751,0.021409218
1/20/2021,0,0.103006533,0.021569725
1/21/2021,7.643518519,0.105653663,0.021764902
1/22/2021,0,0.108327623,0.021994384
1/23/2021,0,0.111018895,0.022257807
1/24/2021,0,0.11371796,0.022554806
1/25/2021,0,0.116415302,0.022885016
1/26/2021,0,0.119101402,0.023248075
1/27/2021,0,0.121766743,0.023643616
1/28/2021,0,0.124401805,0.024071275
1/29/2021,0,0.126997072,0.024530689
1/30/2021,0,0.129543026,0.025021492
1/31/2021,0,0.132030148,0.025543321
2/1/2021,0,0.134480452,0.026095811
2/2/2021,0,0.136926713,0.026678597
2/3/2021,0,0.139375557,0.027291315
2/4/2021,0,0.141833613,0.0279336
2/5/2021,0,0.144307506,0.028605089
2/6/2021,0,0.146803863,0.029305416
2/7/2021,0,0.149329311,0.030034218
2/8/2021,0,0.151890477,0.03079113
2/9/2021,0,0.154493987,0.031575787
2/10/2021,0,0.157146468,0.032387825
2/11/2021,0,0.159854546,0.03322688
2/12/2021,0,0.162624849,0.034092587
2/13/2021,0,0.165464003,0.034984581
2/14/2021,0,0.168378635,0.035902499
2/15/2021,0,0.171375372,0.036845976
2/16/2021,0,0.174460839,0.038426788
2/17/2021,0,0.177641665,0.041194343
2/18/2021,0,0.180924475,0.045054727
2/19/2021,0,0.184315896,0.049914024
2/20/2021,0,0.187822556,0.055678322
2/21/2021,0,0.19145108,0.062253703
2/22/2021,0,0.195208095,0.069546255
2/23/2021,15.28703704,0.199100229,0.077462062
2/24/2021,13.22328704,0.203134108,0.08590721
2/25/2021,0,0.207316358,0.094787783
2/26/2021,4.1275,0.211653607,0.104009868
2/27/2021,7.556755636,0.21615248,0.113479548
2/28/2021,0,0.220819605,0.123102911
3/1/2021,0,0.22597757,0.132786041
3/2/2021,0,0.231912429,0.142435023
3/3/2021,0,0.238576003,0.151955942
3/4/2021,0,0.245920117,0.161254885
3/5/2021,0,0.253896595,0.170237936
3/6/2021,0,0.262457259,0.17881118
3/7/2021,0,0.271553932,0.186880703
3/8/2021,0,0.281138439,0.19435259
3/9/2021,0,0.291162603,0.201132927
3/10/2021,1.27,0.301578246,0.207127798
3/11/2021,0,0.312337193,0.21224329
3/12/2021,0,0.323391266,0.216385486
3/13/2021,0,0.334692289,0.219460473
3/14/2021,16.764,0.346192086,0.221374337
3/15/2021,9.398,0.35784248,0.222033161
3/16/2021,0,0.369595294,0.221891731
3/17/2021,1.27,0.381402351,0.221478837
3/18/2021,0,0.393215475,0.220811571
3/19/2021,0,0.40498649,0.219907026
3/20/2021,0,0.416667218,0.218782294
3/21/2021,0,0.428209483,0.217454468
3/22/2021,0.762,0.439565108,0.215940641
3/23/2021,25.4,0.450685918,0.214257904
3/24/2021,1.016,0.461523734,0.212423351
3/25/2021,5.588,0.472030381,0.210454074
3/26/2021,0.762,0.482157682,0.208367166
3/27/2021,3.302,0.49185746,0.20617972
3/28/2021,0,0.501081538,0.203908827
3/29/2021,0,0.509781741,0.20157158
3/30/2021,0,0.517909891,0.199185073
3/31/2021,0,0.525417811,0.196766397
4/1/2021,0,0.532451992,0.194332645
4/2/2021,0,0.539204455,0.19190091
4/3/2021,0,0.545695318,0.189488284
4/4/2021,0,0.551944701,0.187111859
4/5/2021,0,0.557972722,0.18478873
4/6/2021,0,0.563799501,0.182535987
4/7/2021,25.908,0.569445157,0.180370724
4/8/2021,1.778,0.574929809,0.178310033
4/9/2021,1.524,0.580273577,0.176371006
4/10/2021,0.762,0.585496579,0.174570737
4/11/2021,0,0.590618934,0.172926317
4/12/2021,0,0.595660762,0.17145484
4/13/2021,0,0.600642182,0.170173398
4/14/2021,0,0.605583313,0.169099083
4/15/2021,0,0.610504274,0.168248988
4/16/2021,0,0.615425185,0.167541224
4/17/2021,0,0.620366163,0.166880347
4/18/2021,0,0.62534733,0.16626312
4/19/2021,1.778,0.630388803,0.165686308
4/20/2021,0,0.635510702,0.165146673
4/21/2021,0,0.640733146,0.164640978
4/22/2021,0,0.646076254,0.164165988
4/23/2021,0,0.651560145,0.163718464
4/24/2021,0,0.657204938,0.16329517
4/25/2021,0,0.663030754,0.162892869
4/26/2021,0,0.66905771,0.162508326
4/27/2021,0,0.675305925,0.162138302
4/28/2021,0.762,0.68179552,0.161779561
4/29/2021,0,0.688546613,0.161428867
4/30/2021,0,0.695579323,0.161082983
5/1/2021,0,0.703233667,0.160738671
5/2/2021,0,0.711784387,0.160392696
5/3/2021,0.762,0.72115369,0.16004182
5/4/2021,0,0.731263783,0.159682806
5/5/2021,0,0.742036874,0.159312418
5/6/2021,0,0.753395169,0.15892742
5/7/2021,0,0.765260876,0.158524574
5/8/2021,19.558,0.777556202,0.158100643
5/9/2021,6.858,0.790203354,0.157652391
5/10/2021,0,0.803124539,0.157176582
5/11/2021,0,0.816241964,0.156669977
5/12/2021,0,0.829477838,0.156129342
5/13/2021,0,0.842754365,0.155551438
5/14/2021,1.27,0.855993755,0.154933029
5/15/2021,3.81,0.869118214,0.154270878
5/16/2021,6.858,0.882049949,0.153505568
5/17/2021,4.064,0.894711168,0.15258786
5/18/2021,1.778,0.907024077,0.151529789
5/19/2021,0.254,0.918910884,0.15034339
5/20/2021,11.43,0.930293795,0.149040696
5/21/2021,1.016,0.941095019,0.147633742
5/22/2021,1.016,0.951236762,0.146134562
5/23/2021,0,0.960641232,0.14455519
5/24/2021,0,0.969230635,0.142907662
5/25/2021,1.778,0.976927179,0.14120401
5/26/2021,0,0.983653071,0.13945627
5/27/2021,10.668,0.989330518,0.137676475
5/28/2021,0.254,0.993881727,0.13587666
5/29/2021,0,0.997228906,0.13406886
5/30/2021,0,0.999294261,0.132265108
5/31/2021,0,1,0.130477439
6/1/2021,0,0.99887477,0.128717888
6/2/2021,0,0.995581364,0.126998487
6/3/2021,0,0.990243209,0.125331273
6/4/2021,0,0.982983734,0.123728278
6/5/2021,0,0.973926364,0.122201538
6/6/2021,0,0.963194528,0.120763086
6/7/2021,0,0.950911652,0.119424958
6/8/2021,0,0.937201164,0.118199187
6/9/2021,0,0.922186491,0.117097807
6/10/2021,0,0.905991061,0.116132853
6/11/2021,0.508,0.8887383,0.115316359
6/12/2021,0,0.870551635,0.11466036
6/13/2021,0,0.851554495,0.11417689
6/14/2021,0,0.831870306,0.113877982
6/15/2021,0,0.811622495,0.113775672
6/16/2021,0,0.79093449,0.113777013
6/17/2021,0.508,0.769929718,0.113780915
6/18/2021,0,0.748731606,0.113787195
6/19/2021,0,0.727463582,0.113795669
6/20/2021,29.972,0.706249072,0.113806156
6/21/2021,0,0.685211505,0.113818471
6/22/2021,18.034,0.664474306,0.113832432
6/23/2021,0,0.644160904,0.113847857
6/24/2021,15.494,0.624394726,0.113864562
6/25/2021,0,0.605299198,0.113882364
6/26/2021,4.318,0.586997749,0.113901081
6/27/2021,0,0.569613805,0.11392053
6/28/2021,0.254,0.553270794,0.113940527
6/29/2021,0.254,0.538092143,0.11396089
6/30/2021,0,0.524201279,0.113981436
7/1/2021,0,0.51099831,0.114001982
7/2/2021,0,0.497808897,0.114022345
7/3/2021,0,0.484644797,0.114042342
7/4/2021,0,0.471517767,0.114061791
7/5/2021,0,0.458439564,0.114080508
7/6/2021,0,0.445421945,0.11409831
7/7/2021,4.318,0.432476666,0.114115015
7/8/2021,0,0.419615484,0.11413044
7/9/2021,18.034,0.406850156,0.114144401
7/10/2021,38.354,0.39419244,0.114156717
7/11/2021,0,0.381654091,0.114167203
7/12/2021,0,0.369246867,0.114175677
7/13/2021,0,0.356982524,0.114181957
7/14/2021,12.192,0.34487282,0.114185859
7/15/2021,1.778,0.332929511,0.1141872
7/16/2021,0,0.321164354,0.113888273
7/17/2021,0,0.309589106,0.113017769
7/18/2021,0,0.298215524,0.111615108
7/19/2021,0,0.287055364,0.10971971
7/20/2021,0,0.276120384,0.107370993
7/21/2021,0,0.26542234,0.104608375
7/22/2021,0,0.254972989,0.101471277
7/23/2021,0,0.244784089,0.097999118
7/24/2021,0,0.234867395,0.094231315
7/25/2021,0,0.225234664,0.090207289
7/26/2021,0,0.215897655,0.085966458
7/27/2021,0,0.206868122,0.081548242
7/28/2021,0,0.198157824,0.076992058
7/29/2021,0.254,0.189778517,0.072337328
7/30/2021,25.4,0.181741958,0.067623468
7/31/2021,48.514,0.174059903,0.0628899
8/1/2021,0,0.166503457,0.05817604
8/2/2021,0,0.158851405,0.05352131
8/3/2021,0,0.151127028,0.048965126
8/4/2021,0,0.143353606,0.04454691
8/5/2021,8.128,0.135554421,0.040306079
8/6/2021,2.286,0.127752752,0.036282053
8/7/2021,0,0.119971881,0.03251425
8/8/2021,1.016,0.112235089,0.02904209
8/9/2021,0,0.104565655,0.025904992
8/10/2021,0,0.09698686,0.023142375
8/11/2021,0,0.089521986,0.020793658
8/12/2021,0,0.082194313,0.018898259
8/13/2021,0,0.075027122,0.017495599
8/14/2021,0,0.068043693,0.016625095
8/15/2021,0,0.061267306,0.016326168
8/16/2021,0,0.054721244,0.016382817
8/17/2021,0,0.048428786,0.016549491
8/18/2021,0,0.042413212,0.016821273
8/19/2021,0,0.036697805,0.01719325
8/20/2021,0,0.031305843,0.017660507
8/21/2021,0,0.026260609,0.01821813
8/22/2021,0,0.021585382,0.018861205
8/23/2021,0,0.017303444,0.019584817
8/24/2021,0,0.013438075,0.020384051
8/25/2021,7.62,0.010012555,0.021253994
8/26/2021,12.7,0.007050166,0.022189731
8/27/2021,0,0.004574188,0.023186347
8/28/2021,0,0.002607902,0.024238929
8/29/2021,0,0.001174588,0.025342561
8/30/2021,12.954,0.000297527,0.026492329
8/31/2021,9.398,0,0.02768332
9/1/2021,0,0.000100301,0.028910619
9/2/2021,0,0.000392086,0.03016931
9/3/2021,7.874,0.000861678,0.031454481
9/4/2021,0,0.001495398,0.032761215
9/5/2021,0,0.00227957,0.0340846
9/6/2021,1.27,0.003200517,0.035419721
9/7/2021,0,0.00424456,0.036761663
9/8/2021,0,0.005398022,0.038105512
9/9/2021,0,0.006647227,0.039446354
9/10/2021,0,0.007978496,0.040779273
9/11/2021,0,0.009378152,0.042099357
9/12/2021,0,0.010832518,0.043401689
9/13/2021,0,0.012327916,0.044681357
9/14/2021,0,0.013850669,0.045933445
9/15/2021,0,0.015387099,0.04715304
9/16/2021,0,0.01692353,0.048353523
9/17/2021,0.254,0.018446283,0.049553159
9/18/2021,0,0.019941681,0.050754353
9/19/2021,0,0.021396047,0.051959512
